quarter_index_zero_based,coarse_increment_mwh,native_increment_mwh,signed_discrepancy_mwh
3264,-0.0,-0.00010105677437524885,0.00010105677437524885
3265,-0.0,-0.0003850582730745838,0.0003850582730745838
3266,-0.0,-0.0003547918216304866,0.0003547918216304866
3267,-0.0,-0.0010070711190345418,0.0010070711190345418
3268,-0.0,-0.00018781270481026352,0.00018781270481026352
3269,-0.0,-0.0005613738207224269,0.0005613738207224269
3270,-0.0,-0.00025730396814619625,0.00025730396814619625
3271,-0.0,-0.0004948845456035173,0.0004948845456035173
3272,-0.0,-0.00040686289718903733,0.00040686289718903733
3273,-0.0,-0.00023185596808474206,0.00023185596808474206
3274,0.02422569811928703,0.02422569811928703,0.0
3275,-5.351806468439086e-17,-0.0005817192717958579,0.0005817192717958044
3276,0.009360605167634097,0.009360605167634099,-1.734723475976807e-18
3277,0.032524213956169654,0.032524213956169654,0.0
3278,0.03033563512001178,0.030335635120011785,-3.469446951953614e-18
3279,0.0450126590177058,0.0450126590177058,0.0
3280,0.007771436891942686,0.0075340235565565985,0.0002374133353860875
3281,0.022162795974415114,0.022157719003554295,5.076970860818514e-06
3282,0.022589656593174055,0.022589656593174055,0.0
3283,0.02142485703598447,0.021424857035984467,3.469446951953614e-18
3284,0.0034377143904053224,0.0025660003579379676,0.0008717140324673548
3285,0.023448897838217003,0.023448897838217003,0.0
3286,0.024538383851590143,0.024538383851590136,6.938893903907228e-18
3287,0.03481548338881846,0.03481548338881845,6.938893903907228e-18
3288,-0.020690544016296282,-0.022260690826613975,0.0015701468103176928
3289,0.023252516084320277,0.023251522020172687,9.940641475907064e-07
3290,0.016028304074300188,0.01573210024846707,0.000296203825833119
3291,-0.010514656864994278,-0.011999315474689744,0.0014846586096954658
3292,0.0010719517876275266,-0.001078380550455983,0.0021503323380835096
3293,-0.05782843720023139,-0.05784281376922957,1.4376568998178407e-05
3294,0.004726046292047678,0.00393185190412484,0.0007941943879228378
3295,0.012938156025468038,0.01268121812468036,0.00025693790078767757
3296,0.02091978237406096,0.02081806470757942,0.00010171766648154126
3297,0.01249912088038871,0.01229893970163801,0.00020018117875070067
3298,0.007328951883409106,0.006597253260934814,0.000731698622474292
3299,0.015229504745840073,0.014822790593949675,0.00040671415189039856
3300,0.03597760279496439,0.0359776027949644,-6.938893903907228e-18
3301,0.011244382301921686,0.010555759826912483,0.0006886224750092037
3302,-0.006700780830321181,-0.008088422618102388,0.0013876417877812077
3303,-0.0068451818940100835,-0.007861366750241457,0.0010161848562313738
3304,0.023542600107203958,0.02354260010720396,-3.469446951953614e-18
3305,0.022779720000688702,0.022779720000688706,-3.469446951953614e-18
3306,-0.08402474986857064,-0.08438009762266091,0.0003553477540902683
3307,-0.016386179798649064,-0.017853826901778086,0.0014676471031290217
3308,0.010269748416459857,0.009574998276897133,0.0006947501395627234
3309,0.02245574132361501,0.022455741323615015,-3.469446951953614e-18
3310,-0.03911705854632456,-0.03958928710588951,0.000472228559564955
3311,0.0074829749715773775,0.006562281590931305,0.0009206933806460722
3312,0.03402626469163804,0.03402626469163804,0.0
3313,0.026293895026750544,0.026293895026750544,0.0
3314,0.024428932328789336,0.024428932328789336,0.0
3315,0.02596219417743017,0.025962194177430165,3.469446951953614e-18
3316,0.021503715739188557,0.021502529403378937,1.1863358096199372e-06
3317,-0.01611495183248176,-0.016248212019304212,0.00013326018682245297
3318,-0.06969442546505217,-0.06969730967646895,2.8842114167815236e-06
3319,-0.046499592527454274,-0.04682068067849436,0.0003210881510400873
3320,-0.0521616812834514,-0.05325942060359905,0.0010977393201476449
3321,-0.15583966758698162,-0.15583966758698162,0.0
3322,-0.08615090706656908,-0.08615090706656907,-1.3877787807814457e-17
3323,-0.013041328591657997,-0.01382372131521423,0.0007823927235562338
3324,-0.0,-0.0005442063959825333,0.0005442063959825333
3325,-0.0,-0.00021229239108568393,0.00021229239108568393
3326,-0.0,-0.0002497239453510843,0.0002497239453510843
3327,0.030360773283247235,0.030360773283247235,0.0
3328,0.04563435706891125,0.04563435706891125,0.0
3329,0.039670984648745924,0.03967098464874593,-6.938893903907228e-18
3330,0.02254885800570083,0.022548858005700834,-3.469446951953614e-18
3331,0.022814995880917226,0.022814995880917226,0.0
3332,0.011894638623379151,0.011432221963141568,0.00046241666023758357
3333,-0.0060530323269403765,-0.007331239911714415,0.0012782075847740382
3334,-0.061216281191690806,-0.061238956472447384,2.2675280756577487e-05
3335,-0.09975830217657755,-0.09975830217657757,1.3877787807814457e-17
3336,-0.005896991815692929,-0.006604183956877401,0.0007071921411844718
3337,-0.0,-0.0010060220731785828,0.0010060220731785828
3338,-0.0,-0.0007465098843735637,0.0007465098843735637
3339,-0.0,-0.00014754898203638535,0.00014754898203638535
3340,-0.0,-0.0009360164855943282,0.0009360164855943282
3341,-0.0,-0.0002711133866745427,0.0002711133866745427
3342,-0.0,-0.0003907646104502484,0.0003907646104502484
3343,-0.0,-0.00037995618044674623,0.00037995618044674623
3344,-0.0,-0.00040674081074928254,0.00040674081074928254
3345,-0.0,-0.0003869968853657414,0.0003869968853657414
3346,-0.0,-0.00017611414510917595,0.00017611414510917595
3347,-0.0,-4.158602741079638e-05,4.158602741079638e-05
3348,-0.0,-0.00023005600335487117,0.00023005600335487117
3349,-0.0,-0.00012771476425627162,0.00012771476425627162
3350,-0.0,-0.000355789059090243,0.000355789059090243
3351,-0.0,-0.00038108763145460313,0.00038108763145460313
3352,-0.0,-0.0003796431285138486,0.0003796431285138486
3353,-0.0,-0.00020794447255445116,0.00020794447255445116
3354,-0.0,-0.0006266880273799735,0.0006266880273799735
3355,-0.0,-0.00019757821239978522,0.00019757821239978522
3356,-0.0,-0.0001554212939860906,0.0001554212939860906
3357,-0.0,-0.0005916294164163347,0.0005916294164163347
3358,-0.0,-0.0004932311892540876,0.0004932311892540876
3359,-0.0,-0.0004668088715196999,0.0004668088715196999
3360,-0.0,-0.00022573893477587838,0.00022573893477587838
3361,-0.0,-5.613073992605942e-06,5.613073992605942e-06
3362,-0.0,-0.0006542858382071455,0.0006542858382071455
3363,-0.0,-0.0003344386143075337,0.0003344386143075337
3364,-0.0,-0.000514149140651466,0.000514149140651466
3365,-0.0,-0.00048163977213141747,0.00048163977213141747
3366,-0.0,-7.310931825009378e-05,7.310931825009378e-05
3367,-0.0,-0.0005401716370030638,0.0005401716370030638
3368,-0.0,-0.0004473125218008134,0.0004473125218008134
3369,-0.0,-0.0002118632779913892,0.0002118632779913892
3370,-0.0,-0.0005157094065964198,0.0005157094065964198
3371,-0.0,-0.00045406364708526373,0.00045406364708526373
3372,-0.0,-1.593761670159125e-05,1.593761670159125e-05
3373,-0.0,-0.00015459087007378526,0.00015459087007378526
3374,-0.0,-1.1947652780768723e-06,1.1947652780768723e-06
3375,-0.0,-0.0003850630020197057,0.0003850630020197057
3376,0.005193991602801721,0.005193991602801721,0.0
3377,0.023670435081882518,0.02367043508188252,-3.469446951953614e-18
3378,0.018603015817605473,0.018601956003048214,1.0598145572596196e-06
3379,0.015489409337612798,0.015323593554513404,0.00016581578309939407
3380,-0.008867383564374913,-0.009690291416939823,0.0008229078525649105
3381,-0.054089468275527616,-0.05425881609641444,0.00016934782088682404
3382,-0.0,-0.0009083294872006633,0.0009083294872006633
3383,-0.0,-0.000134541184487057,0.000134541184487057
3384,0.011116092673101265,0.009006953485960104,0.0021091391871411614
3385,0.0020301947725461377,0.00037335833390417385,0.0016568364386419638
3386,-0.010606543258074632,-0.011609754031135075,0.001003210773060443
3387,0.022144806136175275,0.022143612814059622,1.1933221156536222e-06
3388,0.021271001751524996,0.021271001751524996,0.0
3389,-0.015074348262001469,-0.015460282407208639,0.0003859341452071702
3390,0.012448073334852122,0.01209155555867169,0.00035651777618043133
3391,-0.007755454941016025,-0.008898335487216072,0.0011428805462000468
3392,-0.03557382220710768,-0.03592141260051285,0.0003475903934051644
3393,-0.0,-0.0009393590453556028,0.0009393590453556028
3394,-0.0,-0.00028950899935320886,0.00028950899935320886
3395,-0.0,-0.00041727554967697326,0.00041727554967697326
3396,-0.0,-0.00020537798192664497,0.00020537798192664497
3397,0.025381198327792225,0.02537650317348473,4.6951543074928714e-06
3398,-0.025381198327792228,-0.02634133555436806,0.0009601372265758308
3399,-0.0,-0.0016894990455098282,0.0016894990455098282
3400,-0.0,-0.00099764449852241,0.00099764449852241
3401,0.052513604580004425,0.05251360458000442,6.938893903907228e-18
3402,-3.5236570605778894e-17,-3.937365435622914e-05,3.93736543561939e-05
3403,0.004594069331067175,0.00444557359912463,0.000148495731942545
3404,8.071668333720082e-17,-0.000263472236913017,0.0002634722369130977
3405,0.005461836175348042,0.004347289760696829,0.0011145464146512128
3406,0.017823448187829428,0.017732937612424136,9.051057540529137e-05
3407,0.018980915419772558,0.018980899098345595,1.6321426963422647e-08
3408,0.001941390639202707,0.00057120293462178,0.001370187704580927
3409,0.026724181402482564,0.026724181402482568,-3.469446951953614e-18
3410,0.02612823170981728,0.02612823170981728,0.0
3411,0.02518230148682204,0.025182301486822038,3.469446951953614e-18
3412,0.013045902391389554,0.012809810915008954,0.00023609147638060067
3413,0.0069014884142889355,0.006000435045951311,0.0009010533683376249
3414,0.023767124482884323,0.023767124482884327,-3.469446951953614e-18
3415,0.034833128956374027,0.034833128956374027,0.0
3416,0.02470572916058094,0.024705729160580944,-3.469446951953614e-18
3417,0.019707085122097553,0.019656352268596577,5.0732853500976005e-05
3418,0.010166182641703183,0.00983446059702421,0.00033172204467897363
3419,-0.0009092780595662387,-0.0015741491563723497,0.000664871096806111
3420,-0.014638535365649784,-0.015349794753083417,0.0007112593874336326
3421,-0.0037793300076779278,-0.004491421665260848,0.0007120916575829202
3422,0.014874377293447595,0.014693825004032865,0.00018055228941473052
3423,0.005790792275788508,0.005175172216818166,0.0006156200589703415
3424,0.0015399386282648948,-0.00012905747769987702,0.0016689961059647717
3425,0.010704403526909004,0.009933219663756007,0.0007711838631529969
3426,-0.016923138596958487,-0.01847212209801741,0.0015489835010589238
3427,0.013691499570364498,0.0131996405736374,0.000491858996727098
3428,0.01618674524013924,0.016039231865095798,0.00014751337504344264
3429,-0.003897257823660259,-0.005432451989415523,0.0015351941657552643
3430,-0.036477131493000414,-0.03758198310037738,0.0011048516073769651
3431,-0.04548552508144134,-0.0460591149848415,0.0005735899034001596
3432,-0.053616010529639394,-0.05369570388859453,7.969335895513519e-05
3433,-0.048506150672877085,-0.048521247083231536,1.5096410354450973e-05
3434,0.016695326076750373,0.01666716180135275,2.8164275397622035e-05
3435,-0.06001300030800594,-0.06011304852812473,0.00010004822011878967
3436,-0.03569460953028562,-0.03645902471280411,0.0007644151825184839
3437,-0.030323058087122445,-0.031710566714614585,0.0013875086274921407
3438,-0.012416704455761825,-0.014079811494821796,0.001663107039059971
3439,-0.016953705867787702,-0.017672462280282637,0.000718756412494935
3440,0.0015326552693083343,-6.383229470057156e-05,0.0015964875640089057
3441,-0.000733982765892028,-0.0024153106502989787,0.0016813278844069507
3442,-0.013124939337311072,-0.014557272589297383,0.0014323332519863112
3443,-0.0,-0.0005223103686044005,0.0005223103686044005
3444,0.0235,0.0235,0.0
3445,0.007056466640813917,0.007055979023772488,4.876170414287728e-07
3446,-0.03055646664081392,-0.031642451450530185,0.0010859848097162644
3447,-0.0,-0.0006026605911254826,0.0006026605911254826
3448,-0.0,-0.0003389161584709847,0.0003389161584709847
3449,-0.0,-0.0006648195202976911,0.0006648195202976911
3450,-0.0,-0.0003272675152903331,0.0003272675152903331
3451,-0.0,-3.275307412305488e-05,3.275307412305488e-05
3452,-0.0,-0.00022227656356717146,0.00022227656356717146
3453,-0.0,-0.00020739879030681892,0.00020739879030681892
3454,-0.0,-0.00025128827922865,0.00025128827922865
3455,-0.0,-0.0003578456475466983,0.0003578456475466983
3456,-0.0,-2.103675846635068e-06,2.103675846635068e-06
3457,-0.0,-0.0003168431536544221,0.0003168431536544221
3458,-0.0,-0.000896742084807637,0.000896742084807637
3459,-0.0,-0.00033533118979828935,0.00033533118979828935
