source,capacity_mwh,supply_mw,variant,deficit_mwh,request_mwh,hydrogen_energy_mwh,deficit_pct
Belgium,8.0,0.025,high_signal,71.06826225461366,1286.2592394335215,333.55622040002015,5.52518964107987
Belgium,8.0,0.025,low_signal,29.32119039135452,878.1139475773552,255.04360487883716,3.3391099722592146
Belgium,8.0,0.025,reference,49.62468794344877,1088.483630651736,296.51138239848814,4.559066075595064
Belgium,8.0,0.025,slow_feedback,48.25420624172831,1088.483630651736,293.9762469926627,4.433158651438408
Belgium,8.0,0.05,fast_feedback,28.19651706985097,1088.483630651736,403.2340695810135,2.5904401569151885
Belgium,8.0,0.05,high_signal,46.44167926410929,1286.2592394335215,435.7028470464398,3.610600246071901
Belgium,8.0,0.05,low_signal,13.78614663177897,878.1139475773552,367.3356564405277,1.5699724016243932
Belgium,8.0,0.05,reference,28.03664596176155,1088.483630651736,402.47038701667077,2.5757526500398034
Belgium,8.0,0.05,slow_feedback,27.012960444782784,1088.483630651736,399.96133454734206,2.481705712800533
Belgium,8.0,0.1,fast_feedback,6.905132149647577,1088.483630651736,636.2717021278204,0.6343808905525836
Belgium,8.0,0.1,high_signal,17.402999688793532,1286.2592394335215,660.6453585025254,1.3529931723917448
Belgium,8.0,0.1,low_signal,1.1388975850413887,878.1139475773552,608.8099753834889,0.1296981545713417
Belgium,8.0,0.1,reference,6.832762949632643,1088.483630651736,635.2731901651914,0.6277322650724189
Belgium,8.0,0.1,slow_feedback,6.53387656440482,1088.483630651736,632.9612911926519,0.6002732958411716
Belgium,8.0,0.2,fast_feedback,3.1019517711909803e-09,1088.483630651736,1139.245413521978,2.849791842375864e-10
Belgium,8.0,0.2,high_signal,1.5455637883791937,1286.2592394335215,1152.7728503881344,0.12015958688544556
Belgium,8.0,0.2,low_signal,3.1153789203551696e-09,878.1139475773552,1116.2920044979012,3.54780712565863e-10
Belgium,8.0,0.2,reference,3.1116548472432543e-09,1088.483630651736,1137.0646708616205,2.858706148277244e-10
Belgium,8.0,0.2,slow_feedback,3.1524737676781404e-09,1088.483630651736,1133.4967517624355,2.8962068688075526e-10
Germany_seconds,2.0,0.025,fast_feedback,30.40315407934588,436.8222882035208,145.27618804854882,6.960073901993911
Germany_seconds,2.0,0.025,high_signal,43.868558709245335,519.7653124058178,158.449803434965,8.440070482232187
Germany_seconds,2.0,0.025,low_signal,17.043669306116062,350.82359850720206,133.07566155142624,4.858187812518596
Germany_seconds,2.0,0.025,reference,30.20328374013683,436.8222882035208,144.99330274120118,6.914318375179783
Germany_seconds,2.0,0.025,slow_feedback,29.86180448753781,436.8222882035208,144.08424146421243,6.836144879499563
Germany_seconds,2.0,0.05,fast_feedback,11.174628834826633,436.8222882035208,250.8670273689898,2.5581636140370745
Germany_seconds,2.0,0.05,high_signal,21.156684284445603,519.7653124058178,260.0930048758336,4.070430207533179
Germany_seconds,2.0,0.05,low_signal,3.716749412409476,350.82359850720206,245.3553424845342,1.0594354052078325
Germany_seconds,2.0,0.05,reference,11.213851589786232,436.8222882035208,250.97635737711204,2.5671427243111644
Germany_seconds,2.0,0.05,slow_feedback,11.643940994671718,436.8222882035208,251.11540947524554,2.6656013919433215
