source,period,capacity_mwh,reserve_mw,supply_mw,deficit_mwh,request_mwh,hydrogen_energy_mwh,hours,restarts,deficit_pct
Belgium,development,8.0,0.75,0.1,2.6529029624551285e-09,841.6655644724291,587.679693590062,4368.0,1,3.1519680434092786e-10
Belgium,development,8.0,0.75,0.2,2.768174985649314e-09,841.6655644724291,1026.0114789498614,4368.0,1,3.288925082000302e-10
Belgium,development,8.0,0.75,0.4,2.7659374011205266e-09,841.6655644724291,1899.8975815104623,4368.0,1,3.286266562247043e-10
Belgium,evaluation,0.5,0.25,0.0,63.66064622098738,362.8278768839352,108.21757404388009,5064.0,0,17.545687714991026
Belgium,evaluation,0.5,0.25,0.025,26.422907182720202,362.8278768839352,196.3198541557764,5064.0,0,7.282490918186149
Belgium,evaluation,0.5,0.25,0.05,9.632300139254752,362.8278768839352,305.67903591653754,5064.0,0,2.6547850242323094
Belgium,evaluation,0.5,0.25,0.1,0.96405864856836,362.8278768839352,550.2572574553144,5064.0,0,0.26570688472119586
Belgium,evaluation,0.5,0.25,0.2,0.04709206345535931,362.8278768839352,1055.8581389820224,5064.0,0,0.012979174549596023
Belgium,evaluation,0.5,0.25,0.4,1.9343068250793443e-10,362.8278768839352,2068.6108971594263,5064.0,0,5.331196824487962e-11
Belgium,evaluation,0.5,0.5,0.0,184.92034022295474,725.6557537678704,234.85742292179376,5064.0,0,25.483204572248013
Belgium,evaluation,0.5,0.5,0.025,140.45100407902567,725.6557537678704,313.8305141911187,5064.0,0,19.355045880881207
Belgium,evaluation,0.5,0.5,0.05,106.71363141843565,725.6557537678704,404.0568441618841,5064.0,0,14.705820337582857
Belgium,evaluation,0.5,0.5,0.1,65.34268942679812,725.6557537678704,612.8779311597941,5064.0,0,9.004640159953938
Belgium,evaluation,0.5,0.5,0.2,36.606307579564834,725.6557537678704,1089.222290222398,5064.0,0,5.044583108380452
Belgium,evaluation,0.5,0.5,0.4,32.23738333252762,725.6557537678704,2097.4781555180216,5064.0,0,4.442517428565725
Belgium,evaluation,0.5,0.75,0.0,374.78569573793993,1088.483630651736,320.0567125600946,5064.0,0,34.43190923445811
Belgium,evaluation,0.5,0.75,0.025,330.92011938105776,1088.483630651736,395.6536825811975,5064.0,0,30.401938078105722
Belgium,evaluation,0.5,0.75,0.05,293.1623476376326,1088.483630651736,479.02640233847893,5064.0,0,26.933096592559682
Belgium,evaluation,0.5,0.75,0.1,235.67833639264086,1088.483630651736,666.6213131539242,5064.0,0,21.65198720090325
Belgium,evaluation,0.5,0.75,0.2,175.23949557537546,1088.483630651736,1106.5405404441985,5064.0,0,16.099414877782753
Belgium,evaluation,0.5,0.75,0.4,161.45180108696786,1088.483630651736,2104.7369367372353,5064.0,0,14.832726606122469
Belgium,evaluation,1.0,0.25,0.0,46.22447553824486,362.8278768839352,89.45551129018865,5064.0,0,12.740056231410131
Belgium,evaluation,1.0,0.25,0.025,14.835362823642852,362.8278768839352,183.67182164112833,5064.0,0,4.0888155979229035
Belgium,evaluation,1.0,0.25,0.05,3.6280376299565904,362.8278768839352,299.10719149114135,5064.0,0,0.9999335390420294
Belgium,evaluation,1.0,0.25,0.1,0.11608415056317001,362.8278768839352,549.3347786344709,5064.0,0,0.031994275511609625
Belgium,evaluation,1.0,0.25,0.2,3.880486012006217e-10,362.8278768839352,1055.8069703687856,5064.0,0,1.0695115395577896e-10
Belgium,evaluation,1.0,0.25,0.4,3.8830437605743367e-10,362.8278768839352,2068.610897159423,5064.0,0,1.0702164877525332e-10
Belgium,evaluation,1.0,0.5,0.0,127.32129244197476,725.6557537678704,216.43514808776018,5064.0,0,17.545687714991026
Belgium,evaluation,1.0,0.5,0.025,82.90318874646042,725.6557537678704,297.1282135914445,5064.0,0,11.424589182404565
Belgium,evaluation,1.0,0.5,0.05,52.845814365440404,725.6557537678704,392.6397083115528,5064.0,0,7.282490918186149
Belgium,evaluation,1.0,0.5,0.1,19.264600278509505,725.6557537678704,611.3580718330751,5064.0,0,2.6547850242323094
Belgium,evaluation,1.0,0.5,0.2,1.92811729713672,725.6557537678704,1100.5145149106288,5064.0,0,0.26570688472119586
Belgium,evaluation,1.0,0.5,0.4,0.09418412691071862,725.6557537678704,2111.716277964045,5064.0,0,0.012979174549596023
Belgium,evaluation,1.0,0.75,0.0,266.32032104411076,1088.483630651736,312.16721932274635,5064.0,0,24.467094731103114
Belgium,evaluation,1.0,0.75,0.025,220.97405560655417,1088.483630651736,388.94055646225667,5064.0,0,20.30109129654478
Belgium,evaluation,1.0,0.75,0.05,183.46116623469996,1088.483630651736,473.899330854124,5064.0,0,16.854747381442156
Belgium,evaluation,1.0,0.75,0.1,130.1283692642145,1088.483630651736,666.8406914751455,5064.0,0,11.955013892703136
Belgium,evaluation,1.0,0.75,0.2,79.80853563955932,1088.483630651736,1117.791053884114,5064.0,0,7.332084139085628
Belgium,evaluation,1.0,0.75,0.4,69.03973101025248,1088.483630651736,2119.287649309066,5064.0,0,6.342744076813957
Belgium,evaluation,2.0,0.25,0.0,32.837312846095166,362.8278768839352,74.47404373669498,5064.0,0,9.05038309848487
Belgium,evaluation,2.0,0.25,0.025,7.6012633938418945,362.8278768839352,175.75784202019415,5064.0,0,2.0950053394804224
Belgium,evaluation,2.0,0.25,0.05,0.7393651908617614,362.8278768839352,295.93909390892253,5064.0,0,0.20377849607688128
Belgium,evaluation,2.0,0.25,0.1,7.743396842129645e-10,362.8278768839352,549.2066288827958,5064.0,0,2.1341791343686296e-10
Belgium,evaluation,2.0,0.25,0.2,7.794656033122998e-10,362.8278768839352,1055.806970368783,5064.0,0,2.1483068225257747e-10
Belgium,evaluation,2.0,0.25,0.4,7.783903643232474e-10,362.8278768839352,2068.6108971594213,5064.0,0,2.1453433264507574e-10
Belgium,evaluation,2.0,0.5,0.0,92.44895107648972,725.6557537678704,178.9110225803773,5064.0,0,12.740056231410131
Belgium,evaluation,2.0,0.5,0.025,53.65904003389156,725.6557537678704,265.3141496603048,5064.0,0,7.394558612024253
Belgium,evaluation,2.0,0.5,0.05,29.670725647285703,725.6557537678704,367.34364328225666,5064.0,0,4.0888155979229035
Belgium,evaluation,2.0,0.5,0.1,7.256075259913181,725.6557537678704,598.2143829822827,5064.0,0,0.9999335390420294
Belgium,evaluation,2.0,0.5,0.2,0.23216830112634002,725.6557537678704,1098.6695572689418,5064.0,0,0.031994275511609625
Belgium,evaluation,2.0,0.5,0.4,7.760972024012434e-10,725.6557537678704,2111.6139407375713,5064.0,0,1.0695115395577896e-10
Belgium,evaluation,2.0,0.75,0.0,178.38261380511827,1088.483630651736,283.4643849090134,5064.0,0,16.388176062722287
Belgium,evaluation,2.0,0.75,0.025,134.13428691196768,1088.483630651736,362.4039382042641,5064.0,0,12.323041259853765
Belgium,evaluation,2.0,0.75,0.05,103.17210358876947,1088.483630651736,454.17901132445377,5064.0,0,9.478516780908738
Belgium,evaluation,2.0,0.75,0.1,58.68651235629195,1088.483630651736,658.2547165793821,5064.0,0,5.391584283279764
Belgium,evaluation,2.0,0.75,0.2,25.479355217822196,1088.483630651736,1128.3176615063317,5064.0,0,2.340811979190379
Belgium,evaluation,2.0,0.75,0.4,21.29087943805423,1088.483630651736,2137.147801099597,5064.0,0,1.9560128272490596
Belgium,evaluation,4.0,0.25,0.0,22.1280758631005,362.8278768839352,62.093676642509884,5064.0,0,6.098780516299478
Belgium,evaluation,4.0,0.25,0.025,2.730851528299029,362.8278768839352,170.4665211188449,5064.0,0,0.7526575829157139
Belgium,evaluation,4.0,0.25,0.05,1.4923571853832239e-09,362.8278768839352,295.1350731715224,5064.0,0,4.113127134000823e-10
Belgium,evaluation,4.0,0.25,0.1,1.5363513740587179e-09,362.8278768839352,549.2066288828061,5064.0,0,4.234380740678811e-10
Belgium,evaluation,4.0,0.25,0.2,1.5480338448101457e-09,362.8278768839352,1055.8069703687904,5064.0,0,4.2665791231508523e-10
Belgium,evaluation,4.0,0.25,0.4,1.5467046045590317e-09,362.8278768839352,2068.610897159428,5064.0,0,4.262915567134899e-10
