day,baseline,seconds,blocks,delta_optimism_mwh,span_underestimate_mean_mwh,span_underestimate_max_mwh,native_throughput_mwh,omitted_throughput_mwh
2025-01-04,-0.25,900,96,0.0028040156490977044,0.00017304197673508796,0.006366270167332658,6.021770441609316,0.04528822526145455
2025-01-04,0.0,1,96,0.0,0.0,0.0,0.6697716521066164,0.0
2025-01-04,0.0,60,96,3.7453061257964205e-05,2.711860714975827e-06,0.00021025440675963292,0.6697716521066164,0.0006049119859579413
2025-01-04,0.0,300,96,8.968066788180002e-05,3.930488352119089e-06,0.00021019489753931753,0.6697716521066164,0.0014484506496418058
2025-01-04,0.0,900,96,0.00014487077401731196,8.493276835606105e-06,0.00021019489753932447,0.6697716521066164,0.0023398372435831294
2025-01-04,0.25,1,96,0.0,0.0,0.0,6.0811363627571415,0.0
2025-01-04,0.25,60,96,0.00019673246456013323,2.617681904261614e-06,0.0001678608828895936,6.0811363627571415,0.003177465921510237
2025-01-04,0.25,300,96,0.0014833790202117766,2.9867717837163525e-05,0.001399070578072134,6.0811363627571415,0.023958355308319294
2025-01-04,0.25,900,96,0.003567448195708667,0.00019466256350842844,0.01158021426627345,6.0811363627571415,0.05761857910500329
2025-01-05,-0.25,1,96,0.0,0.0,0.0,6.527367233011634,0.0
2025-01-05,-0.25,60,96,0.0008437744583986682,3.8134653912640864e-05,0.000620573379838632,6.527367233011634,0.013627972352505265
2025-01-05,-0.25,300,96,0.003444280565388491,0.00017050918883891892,0.003306324217301211,6.527367233011634,0.05562927373687794
2025-01-05,-0.25,900,96,0.00810646002920324,0.0005405592682010005,0.01507235336187384,6.527367233011634,0.13092907950983268
2025-01-05,0.0,1,96,0.0,0.0,0.0,2.4591739349391553,0.0
2025-01-05,0.0,60,96,0.00032568286589540187,1.427627965607673e-05,0.0007268086118484996,2.4591739349391553,0.005260169998980466
2025-01-05,0.0,300,96,0.0024426074525793103,0.00014171205743066762,0.003888916604304231,2.4591739349391553,0.0394510482031538
2025-01-05,0.0,900,96,0.008615238781237003,0.0006340711047841554,0.013315575900597343,2.4591739349391553,0.13914646828800195
2025-01-05,0.25,1,96,0.0,0.0,0.0,6.584989538927335,0.0
2025-01-05,0.25,60,96,0.00044615507942301027,2.178867207395393e-05,0.0010348442990836815,6.584989538927335,0.007205941144940073
2025-01-05,0.25,300,96,0.0035109639705466714,0.00023181218001338625,0.009119931646616942,6.584989538927335,0.05670629093284913
2025-01-05,0.25,900,96,0.009422708491865104,0.0007244537879212738,0.02521124032790917,6.584989538927335,0.15218807529778489
2025-01-06,-0.25,1,96,0.0,0.0,0.0,5.637653668015673,0.0
2025-01-06,-0.25,60,96,0.0019558791444030344,7.463336074655366e-05,0.0009906018276423859,5.637653668015673,0.031589800614525765
