source,capacity_mwh,supply_mw,minimum_load_mw,dwell_quarters,deficit_mwh,request_mwh,hydrogen_energy_mwh,startups,on_hours,deficit_pct
Germany_seconds,4.0,0.2,0.0,0,1.517789873675273e-09,436.8222882035208,1002.358060240442,128,4895.25,3.4746163706924137e-10
Germany_seconds,4.0,0.2,0.05,4,1.5224872656913386e-09,436.8222882035208,1002.2480773043221,156,4810.5,3.4853699245813056e-10
Germany_seconds,4.0,0.2,0.1,4,1.5236979048869466e-09,436.8222882035208,1002.1118841231036,208,4729.5,3.488141393044114e-10
Germany_seconds,4.0,0.2,0.2,4,1.4338467341690305e-09,436.8222882035208,1000.0571567279397,642,4220.25,3.2824486590779997e-10
Germany_seconds,8.0,0.025,0.0,0,14.539162157781675,436.8222882035208,127.30052720552457,270,1565.75,3.3283929301262445
Germany_seconds,8.0,0.025,0.05,4,14.541859599322148,436.8222882035208,126.93875222262669,372,1258.5,3.329010444757095
Germany_seconds,8.0,0.025,0.1,4,14.56475495558627,436.8222882035208,126.23176468836454,460,946.5,3.334251788178073
Germany_seconds,8.0,0.025,0.2,4,14.703138172148673,436.8222882035208,124.98157514535524,443,594.25,3.365931311018247
Germany_seconds,8.0,0.05,0.0,0,0.9377739536522636,436.8222882035208,239.78284176258546,382,2692.0,0.21468088487630999
Germany_seconds,8.0,0.05,0.05,4,0.9388318540557444,436.8222882035208,239.53005153682278,484,2331.75,0.2149230658345737
Germany_seconds,8.0,0.05,0.1,4,0.9362604404180649,436.8222882035208,237.47679269145482,776,1782.5,0.21433440227341372
Germany_seconds,8.0,0.05,0.2,4,1.0161764586921371,436.8222882035208,234.17578371552196,805,1110.75,0.23262926048743376
Germany_seconds,8.0,0.1,0.0,0,2.916264244412477e-09,436.8222882035208,493.0755676274243,355,4165.0,6.676088476176275e-10
Germany_seconds,8.0,0.1,0.05,4,2.9379238905401525e-09,436.8222882035208,492.83705986281694,437,3895.0,6.725673048009258e-10
Germany_seconds,8.0,0.1,0.1,4,2.7678040326186882e-09,436.8222882035208,492.12006268489745,701,3468.0,6.336224380861112e-10
Germany_seconds,8.0,0.1,0.2,4,2.815525824689573e-09,436.8222882035208,481.89714282160844,1440,2241.5,6.445471993356221e-10
Germany_seconds,8.0,0.2,0.0,0,3.021821126063676e-09,436.8222882035208,1002.3580602404281,128,4895.25,6.917735673450281e-10
