period,capacity_mwh,reserve_mw,supply_mw,model,native_deficit_mwh,predicted_deficit_mwh,requested_reserve_mwh,hydrogen_energy_mwh,baseline_charge_mwh,maximum_state_error_mwh,initial_inventory_mwh,terminal_inventory_mwh,hours,native_deficit_pct,predicted_deficit_pct,terminal_restoration_mwh,restored_hydrogen_energy_mwh,restored_hydrogen_change_mwh
calibration,0.5,0.5,0.25,envelope,1.2525841482435107,1.2525841480789426,208.67031739231837,1119.744424311597,-33.99442431159687,6.360745263833678e-13,0.25,0.2680674881470026,4343.0,0.6002694412394761,0.6002694411606109,-0.016983438858182442,1119.7614077504552,34.01140775045519
calibration,0.5,0.5,0.25,gross,1.2577003754885923,0.0,208.67031739231837,1119.797253888598,-34.04725388859803,0.0201454769719969,0.25,0.2720908672941687,4343.0,0.6027212644355191,,-0.02076541525651858,1119.8180193038547,34.068019303854726
calibration,0.5,0.5,0.25,minute,1.2416095343326483,1.2480758214791061,208.67031739231837,1120.0020175164059,-34.25201751640596,0.0419377617341915,0.25,0.2680043096582537,4343.0,0.5950101336158483,0.5981089390555796,-0.016924051078758502,1120.0189415674847,34.26894156748472
calibration,0.5,0.5,0.25,native,1.2525841482437454,1.2525841482437454,208.67031739231837,1119.744424311597,-33.99442431159694,0.0,0.25,0.2680674881469986,4343.0,0.6002694412395886,0.6002694412395886,-0.016983438858178684,1119.7614077504552,34.01140775045519
calibration,0.5,0.5,0.25,quarter,3.0040229267524325,1.130891409296732,208.67031739231837,1122.7706091151472,-37.0206091151471,0.238210673541644,0.25,0.2720035968289848,4343.0,1.4396024141299444,0.5419512575765904,-0.020683381019245696,1122.7912924961665,37.041292496166534
calibration,0.5,0.5,0.5,5minute,1.5333334566155616,1.2221565215199188,208.67031739231837,2206.689927610426,-35.189927610426075,0.155782909274002,0.25,0.2682751556702623,4343.0,0.7348114843438711,0.5856877666132831,-0.01717864633004654,2206.707106256756,35.207106256756106
calibration,0.5,0.5,0.5,envelope,1.2525841482435107,1.2525841480789426,208.67031739231837,2205.494424311597,-33.99442431159687,6.360745263833678e-13,0.25,0.2680674881470026,4343.0,0.6002694412394761,0.6002694411606109,-0.016983438858182442,2205.511407750455,34.011407750454964
calibration,0.5,0.5,0.5,gross,1.2577003754885923,0.0,208.67031739231837,2205.547253888598,-34.04725388859803,0.0201454769719969,0.25,0.2720908672941687,4343.0,0.6027212644355191,,-0.02076541525651858,2205.5680193038543,34.06801930385427
calibration,0.5,0.5,0.5,minute,1.2416095343326483,1.2480758214791061,208.67031739231837,2205.752017516406,-34.25201751640596,0.0419377617341915,0.25,0.2680043096582537,4343.0,0.5950101336158483,0.5981089390555796,-0.016924051078758502,2205.7689415674845,34.26894156748449
calibration,0.5,0.5,0.5,native,1.2525841482437454,1.2525841482437454,208.67031739231837,2205.494424311597,-33.99442431159694,0.0,0.25,0.2680674881469986,4343.0,0.6002694412395886,0.6002694412395886,-0.016983438858178684,2205.511407750455,34.011407750454964
calibration,0.5,0.5,0.5,quarter,3.0040229267524325,1.130891409296732,208.67031739231837,2208.520609115147,-37.0206091151471,0.238210673541644,0.25,0.2720035968289848,4343.0,1.4396024141299444,0.5419512575765904,-0.020683381019245696,2208.5412924961665,37.041292496166534
calibration,0.5,0.5,0.75,5minute,1.5333334566155616,1.2221565215199188,208.67031739231837,3292.439927610426,-35.189927610426075,0.155782909274002,0.25,0.2682751556702623,4343.0,0.7348114843438711,0.5856877666132831,-0.01717864633004654,3292.457106256756,35.207106256756106
calibration,0.5,0.5,0.75,envelope,1.2525841482435107,1.2525841480789426,208.67031739231837,3291.244424311597,-33.99442431159687,6.360745263833678e-13,0.25,0.2680674881470026,4343.0,0.6002694412394761,0.6002694411606109,-0.016983438858182442,3291.261407750455,34.011407750454964
calibration,0.5,0.5,0.75,gross,1.2577003754885923,0.0,208.67031739231837,3291.297253888598,-34.04725388859803,0.0201454769719969,0.25,0.2720908672941687,4343.0,0.6027212644355191,,-0.02076541525651858,3291.3180193038543,34.06801930385427
calibration,0.5,0.5,0.75,minute,1.2416095343326483,1.2480758214791061,208.67031739231837,3291.502017516406,-34.25201751640596,0.0419377617341915,0.25,0.2680043096582537,4343.0,0.5950101336158483,0.5981089390555796,-0.016924051078758502,3291.5189415674845,34.26894156748449
calibration,0.5,0.5,0.75,native,1.2525841482437454,1.2525841482437454,208.67031739231837,3291.244424311597,-33.99442431159694,0.0,0.25,0.2680674881469986,4343.0,0.6002694412395886,0.6002694412395886,-0.016983438858178684,3291.261407750455,34.011407750454964
calibration,0.5,0.5,0.75,quarter,3.0040229267524325,1.130891409296732,208.67031739231837,3294.270609115147,-37.0206091151471,0.238210673541644,0.25,0.2720035968289848,4343.0,1.4396024141299444,0.5419512575765904,-0.020683381019245696,3294.2912924961665,37.041292496166534
calibration,0.5,0.75,0.25,5minute,12.308106615909137,12.513136368923151,313.00547608849115,1136.3969051742129,-50.64690517421293,0.0800499074938432,0.25,0.282365391400859,4343.0,3.9322336368420143,3.997737204247988,-0.030423467916807438,1136.4273286421296,50.67732864212962
calibration,0.5,0.75,0.25,envelope,12.720548281203135,12.720548281048975,313.00547608849115,1134.6691861369707,-48.91918613697062,3.719247132494274e-13,0.25,0.2817583826891541,4343.0,4.064001831586759,4.0640018315375075,-0.02985287972780485,1134.6990390166984,48.94903901669841
calibration,0.5,0.75,0.25,gross,12.339809488182198,0.0,313.00547608849115,1134.9334792775269,-49.1834792775269,0.036631962940296,0.25,0.2889645285322902,4343.0,3.9423621728245917,,-0.03662665682035279,1134.9701059343472,49.2201059343472
calibration,0.5,0.75,0.25,minute,12.614999480338218,12.70014269288724,313.00547608849115,1135.0405921800786,-49.29059218007857,0.0234655348112883,0.25,0.2816567299282875,4343.0,4.030280759935259,4.057482588354693,-0.029757326132590245,1135.0703495062112,49.32034950621119
calibration,0.5,0.75,0.25,native,12.72054828120344,12.72054828120344,313.00547608849115,1134.6691861369702,-48.919186136970154,0.0,0.25,0.2817583826891358,4343.0,4.0640018315868565,4.0640018315868565,-0.02985287972778763,1134.699039016698,48.94903901669795
calibration,0.5,0.75,0.25,quarter,12.426438794234208,11.785021259845829,313.00547608849115,1139.0761325633764,-53.32613256337635,0.1739588983843153,0.25,0.2878060388243099,4343.0,3.9700387831940285,3.765116638570896,-0.03553767649485129,1139.1116702398713,53.36167023987127
calibration,0.5,0.75,0.5,5minute,12.308106615909137,12.513136368923151,313.00547608849115,2222.146905174213,-50.64690517421293,0.0800499074938432,0.25,0.282365391400859,4343.0,3.9322336368420143,3.997737204247988,-0.030423467916807438,2222.17732864213,50.67732864212985
