period,capacity_mwh,eta,horizon_hours,measured_feedback,model,deficit_mwh,requested_mwh,hydrogen_energy_mwh,max_state_error,initial_inventory,terminal_inventory,deficit_pct,terminal_restoration_mwh,restored_hydrogen_energy_mwh
calibration,0.5,0.98,1.0,True,5minute,13.064586469762734,313.00547608849115,2233.380915158968,0.009386837728173,0.25,0.2846540657091849,4.1739162627522814,-0.03396098439500119,2233.414876143363
calibration,0.5,0.98,1.0,True,envelope,13.064586469762734,313.00547608849115,2233.380915158968,2.4924506902834764e-14,0.25,0.2846540657091849,4.1739162627522814,-0.03396098439500119,2233.414876143363
calibration,0.5,0.98,1.0,True,gross,13.064586469762734,313.00547608849115,2233.380915158968,0.0358605574676884,0.25,0.2846540657091849,4.1739162627522814,-0.03396098439500119,2233.414876143363
calibration,0.5,0.98,1.0,True,minute,13.064586469762734,313.00547608849115,2233.380915158968,0.00229152991524,0.25,0.2846540657091849,4.1739162627522814,-0.03396098439500119,2233.414876143363
calibration,0.5,0.98,1.0,True,native,13.064586469762734,313.00547608849115,2233.380915158968,0.0,0.25,0.2846540657091849,4.1739162627522814,-0.03396098439500119,2233.414876143363
calibration,0.5,0.98,1.0,True,quarter,13.064586469762734,313.00547608849115,2233.380915158968,0.0358605574676884,0.25,0.2846540657091849,4.1739162627522814,-0.03396098439500119,2233.414876143363
calibration,0.5,1.0,1.0,False,5minute,13.098414675663628,313.00547608849115,2239.817702148839,0.0090010905861369,0.25,0.2873420609286919,4.184723807183654,-0.03734206092869191,2239.8550442097676
calibration,0.5,1.0,1.0,False,envelope,13.258899649064237,313.00547608849115,2239.659481076256,3.0619951019161817e-13,0.25,0.2860868306525921,4.235996064591457,-0.036086830652592106,2239.6955679069083
calibration,0.5,1.0,1.0,False,gross,12.743328476657132,313.00547608849115,2240.160701711051,0.0354908662728646,0.25,0.2932514923618559,4.071279721973429,-0.04325149236185588,2240.2039532034128
calibration,0.5,1.0,1.0,False,minute,13.239874664635504,313.00547608849115,2239.6842124031314,0.0022456993169945,0.25,0.2860943770159928,4.229917901146369,-0.036094377015992773,2239.7203067801474
calibration,0.5,1.0,1.0,False,native,13.258899649064574,313.00547608849115,2239.659481076255,0.0,0.25,0.2860868306525833,4.235996064591564,-0.03608683065258328,2239.6955679069074
calibration,0.5,1.0,1.0,False,quarter,12.74332847665707,313.00547608849115,2240.160701711051,0.0354908662728498,0.25,0.2932514923618546,4.07127972197341,-0.043251492361854604,2240.2039532034128
calibration,0.5,1.0,1.0,True,5minute,13.258899649064574,313.00547608849115,2239.659481076255,0.0090010905861369,0.25,0.2860868306525833,4.235996064591564,-0.03608683065258328,2239.6955679069074
calibration,0.5,1.0,1.0,True,envelope,13.258899649064574,313.00547608849115,2239.659481076255,2.4924506902834764e-14,0.25,0.2860868306525833,4.235996064591564,-0.03608683065258328,2239.6955679069074
calibration,0.5,1.0,1.0,True,gross,13.258899649064574,313.00547608849115,2239.659481076255,0.0351538928647032,0.25,0.2860868306525833,4.235996064591564,-0.03608683065258328,2239.6955679069074
calibration,0.5,1.0,1.0,True,minute,13.258899649064574,313.00547608849115,2239.659481076255,0.0022456993169439,0.25,0.2860868306525833,4.235996064591564,-0.03608683065258328,2239.6955679069074
calibration,0.5,1.0,1.0,True,native,13.258899649064574,313.00547608849115,2239.659481076255,0.0,0.25,0.2860868306525833,4.235996064591564,-0.03608683065258328,2239.6955679069074
calibration,0.5,1.0,1.0,True,quarter,13.258899649064574,313.00547608849115,2239.659481076255,0.0351538928647032,0.25,0.2860868306525833,4.235996064591564,-0.03608683065258328,2239.6955679069074
calibration,1.0,0.9,1.0,False,5minute,2.5668150837737804,313.00547608849115,2209.796271145083,0.4003736516653597,0.5,0.4848962308682745,0.8200543696072925,0.016781965701917232,2209.7794891793815
calibration,1.0,0.9,1.0,False,envelope,1.9383274098807228,313.00547608849115,2206.812331886564,1.668457039194493e-12,0.5,0.5015163351849228,0.6192630985576527,-0.0013647016664305011,2206.8136965882304
calibration,1.0,0.9,1.0,False,gross,1.941123811295762,313.00547608849115,2206.8644075662423,0.0323727284758722,0.5,0.5065741444425418,0.6201565019095635,-0.005916729998287607,2206.8703242962406
calibration,1.0,0.9,1.0,False,minute,1.8910910556331033,313.00547608849115,2207.4583342674323,0.106526019181725,0.5,0.4865827506857408,0.6041718756059286,0.014908054793621327,2207.4434262126388
